Grouping,Company Name,Tech Day URL,Social Profiles URLs,Company Description,Company URL
Sponsors,Galvanize,https://techdayhq.com/companies/galvanize,"https://www.facebook.com/galvanizeNYC,http://twitter.com/@galvanize","Galvanize is a dynamic tech learning community that offers education, workspace and networking for students, startups and large companies. Galvanize teaches web development, data science and data engineering to students; offers support to growing start ups and shared workspace for the growing company. Galvanize campuses bring together entrepreneurs, students, investors and mentors to develop the skills, mindset and network necessary to thrive in a technology driven world. Galvanize is now bi-coastal with our ninth campus, in New York City. Galvanize New York is located in vibrant Lower Manhattan at the intersection of Spring & Hudson. We have a beautiful 50,000 square foot campus with several full service event spaces and an incredible team to help assist with your on site event. For more information on Galvanize NYC please visit our website: http://www.galvanize.com/campuses/new-york-west-soho/",http://www.galvanize.com/campuses/new-york-west-soho/
Sponsors,Califia Farms,https://techdayhq.com/companies/califia-farms,"https://www.facebook.com/CalifiaFarms/,/community/startups/califia-farms","We're Califia Farms. We bring you the most delicious, good-for-the-world foods by applying creativity and innovation to nature's bounty, because we believe the world needs a healthier, plant-based food system.",CalifiaFarms.com
Sponsors,Medidata,https://techdayhq.com/companies/medidata,"https://www.facebook.com/MedidataSolutions,http://twitter.com/@Medidata,https://www.linkedin.com/company/12076?trk=vsrp_companies_hero_name&trkInfo=VSRPsearchId%3A1753073631390862828770%2CVSRPtargetId%3A12076%2CVSRPcmpt%3Ahero","We are the leading global provider of cloud-based solutions for clinical research in life sciences. With the current transformation in the life sciences industry, we are at the forefront of providing an advanced clinical development platform for our clients to improve the accuracy, timeliness and ease of the data collection process.  Our mission? To put innovative technology and insightful data onto researchers’ hands to help them safely get new treatments to market faster and with lower risk and cost.  That means better treatments can reach waiting patients sooner. Know nothing about our industry? No problem. As long as you are passionate about helping to make the world a better place through innovative technology (and shine in a fast-paced environment that's growing fast), you’ll fit right in.",https://www.mdsol.com/
Sponsors,WeWork,https://techdayhq.com/companies/wework-8a5e9b2d-4804-4bc3-942b-812ff171cdd4,"https://www.facebook.com/WeWork/,http://twitter.com/@WeWorkNY,https://www.linkedin.com/company/wework","WeWork is a global workspace provider, using thoughtful design and advanced technology to empower businesses of all sizes and industries. ",https://www.wework.com/
Sponsors,Columbia Business School,https://techdayhq.com/companies/columbia-business-school,"https://www.facebook.com/columbiabusiness,http://twitter.com/@Columbia_Biz,https://www.linkedin.com/company/2625?trk=vsrp_companies_cluster_name&trkInfo=VSRPsearchId%3A248207741395269855492%2CVSRPtargetId%3A2625%2CVSRPcmpt%3Acompanies_cluster,https://angel.co/columbia-business-school","At Columbia Business School, we instill entrepreneurial thinking into everything we do. Entrepreneurship is fully integrated throughout the School’s core MBA curriculum, crossing all disciplines and touching all students. For students interested in launching their own ventures, the School offers a comprehensive program of specialized courses, labs, workshops, and funding opportunities. Through our innovative programming, Columbia Business School students, alumni, and neighbors have the opportunity to put their entrepreneurial visions into action.",https://www8.gsb.columbia.edu/
Sponsors,Amazon Web Services,https://techdayhq.com/companies/amazon-web-services,"https://www.facebook.com/amazonwebservices/,http://twitter.com/@AWSstartups,https://www.linkedin.com/company/amazon-web-services","For 10 years, Amazon Web Services has been the world’s most comprehensive and broadly adopted cloud platform. AWS offers over 50 fully featured services for compute, storage, databases, analytics, mobile, Internet of Things (IoT) and enterprise applications from 32 Availability Zones (AZs) across 12 geographic regions in the U.S., Australia, Brazil, China, Germany, Ireland, Japan, Korea, and Singapore. AWS services are trusted by more than a million active customers around the world -- including the fastest growing startups, largest enterprises, and leading government agencies -- to power their infrastructure, make them more agile, and lower costs. To learn more about AWS, visit http://aws.amazon.com.",https://aws.amazon.com/startups/
Sponsors,Aircall ,https://techdayhq.com/companies/aircall,"https://www.facebook.com/aircallapp/,http://twitter.com/@aircall,https://www.linkedin.com/company-beta/5013970/","Aircall is a next generation cloud-based phone solution that helps businesses set up their call center quickly. Aircall’s mission is to add value to the voice channel through powerful integrations that connect our phone system to essential business tools, empowering sales and service teams to easily communicate with their customers. ",https://aircall.io/
Sponsors,Metropolitan College of New York,https://techdayhq.com/companies/metropolitan-college-of-new-york,"https://www.facebook.com/mcnyedu/,http://twitter.com/https://twitter.com/mcnyedu,https://www.linkedin.com/school/metropolitan-college-of-new-york/","MCNY is an accredited college designed for adult learners pursuing degrees in business, education, emergency management, healthcare, human services, information technology and public affairs. Accelerate your future and earn your undergraduate degree in less than 3-years or graduate degree in 1-year from highly qualified faculty working in their field of study, in smaller class sizes for more personal attention at convenient times weekdays, weekends, evenings and online.   About MCNY - History  Audrey Cohen, educational visionary and activist, founded the Women’s Talent Corps in 1964. Through development and training for new professional positions, the Talent Corps created employment for thousands of people. It became The College for Human Services, later Audrey Cohen College, and today Metropolitan College of New York (MCNY).  For over 50 years, MCNY has continued the tradition of offering highly motivated learners an education that combines applied skills with professional knowledge to effect personal transformation and positive change in the workplace and community.  MCNY is a not-for-profit, accredited, independent college. Full year-round offerings accelerated degree completion, and a unique approach to learning permits close integration of workplace activities and study. MCNY locations are in the Financial District at 60 West Street, New York, NY 10006 and in the Bronx at 463 East 149th Street, Bronx, NY 10455.  For more information on MCNY, visit mcny.edu or call 800.33.THINK.",https://www.mcny.edu/
Sponsors,GoDaddy,https://techdayhq.com/companies/godaddy-60cdf0c0-b85c-48b1-9afa-c42fcd0aaef3,"https://www.facebook.com/GoDaddy/,http://twitter.com/@godaddy,https://www.linkedin.com/company/godaddy/","GoDaddy powers the world’s largest cloud platform dedicated to small, independent ventures. With 17 million customers worldwide and 71 million domain names under management, GoDaddy is the place people come to name their idea, build a professional website, attract customers and manage their work.",https://www.godaddy.com/
Sponsors,TomTom,https://techdayhq.com/companies/tomtom-786d5d65-bb9a-467e-8b9c-43b7814dbe6b,,"TomTom created the easy-to-use navigation device, one of the most influential inventions of all time.",https://www.tomtom.com/en_us/
